Survived,Pclass,Sex,Age,Fare,Embarked,Title,Age*Class
0,3,0,1,7.25,0,1,3
1,1,1,1,71.2833,1,3,1
1,3,1,1,7.925,0,2,3
1,1,1,1,53.1,0,3,1
0,3,0,1,8.05,0,1,3
0,3,0,1,8.4583,2,1,3
0,1,0,2,51.8625,0,1,2
0,3,0,0,21.075,0,4,0
1,3,1,1,11.1333,0,3,3
1,2,1,0,30.0708,1,3,0
1,3,1,0,16.7,0,2,0
1,1,1,2,26.55,0,2,2
0,3,0,0,8.05,0,1,0
0,3,0,1,31.275,0,1,3
0,3,1,0,7.8542,0,2,0
1,2,1,2,16.0,0,3,4
0,3,0,0,29.125,2,4,0
1,2,0,1,13.0,0,1,2
0,3,1,1,18.0,0,3,3
1,3,1,1,7.225,1,3,3
0,2,0,1,26.0,0,1,2
1,2,0,1,13.0,0,1,2
1,3,1,0,8.0292,2,2,0
1,1,0,1,35.5,0,1,1
0,3,1,0,21.075,0,2,0
1,3,1,1,31.3875,0,3,3
0,3,0,1,7.225,1,1,3
0,1,0,0,263.0,0,1,0
1,3,1,1,7.8792,2,2,3
0,3,0,1,7.8958,0,1,3
0,1,0,1,27.7208,1,5,1
1,1,1,1,146.5208,1,3,1
1,3,1,1,7.75,2,2,3
0,2,0,3,10.5,0,1,6
0,1,0,1,82.1708,1,1,1
0,1,0,2,52.0,0,1,2
1,3,0,1,7.2292,1,1,3
0,3,0,1,8.05,0,1,3
0,3,1,0,18.0,0,2,0
1,3,1,0,11.2417,1,2,0
0,3,1,1,9.475,0,3,3
0,2,1,1,21.0,0,3,2
0,3,0,1,7.8958,1,1,3
1,2,1,0,41.5792,1,2,0
1,3,1,0,7.8792,2,2,0
0,3,0,1,8.05,0,1,3
0,3,0,1,15.5,2,1,3
1,3,1,1,7.75,2,2,3
0,3,0,1,21.6792,1,1,3
0,3,1,0,17.8,0,3,0
0,3,0,0,39.6875,0,4,0
0,3,0,1,7.8,0,1,3
1,1,1,2,76.7292,1,3,2
1,2,1,1,26.0,0,3,2
0,1,0,3,61.9792,1,1,3
1,1,0,2,35.5,0,1,2
1,2,1,1,10.5,0,2,2
0,3,0,1,7.2292,1,1,3
1,2,1,0,27.75,0,2,0
0,3,0,0,46.9,0,4,0
0,3,0,1,7.2292,1,1,3
1,1,1,1,80.0,0,2,1
0,1,0,2,83.475,0,1,2
0,3,0,0,27.9,0,4,0
0,1,0,2,27.7208,1,1,2
1,3,0,1,15.2458,1,4,3
1,2,1,1,10.5,0,3,2
0,3,0,0,8.1583,0,1,0
1,3,1,0,7.925,0,2,0
0,3,0,1,8.6625,0,1,3
0,2,0,1,10.5,0,1,2
0,3,1,0,46.9,0,2,0
0,2,0,1,73.5,0,1,2
0,3,0,1,14.4542,1,1,3
1,3,0,1,56.4958,0,1,3
0,3,0,1,7.65,0,1,3
0,3,0,1,7.8958,0,1,3
0,3,0,1,8.05,0,1,3
1,2,0,0,29.0,0,4,0
1,3,1,1,12.475,0,2,3
0,3,0,1,9.0,0,1,3
1,3,0,1,9.5,0,1,3
1,3,1,1,7.7875,2,2,3
0,1,0,1,47.1,0,1,1
1,2,1,0,10.5,0,2,0
1,3,1,1,15.85,0,3,3
0,3,0,0,34.375,0,1,0
0,3,0,1,8.05,0,1,3
1,1,1,1,263.0,0,2,1
0,3,0,1,8.05,0,1,3
0,3,0,1,8.05,0,1,3
0,3,0,0,7.8542,0,1,0
0,1,0,2,61.175,0,1,2
0,3,0,1,20.575,0,1,3
0,3,0,2,7.25,0,1,6
0,3,0,1,8.05,0,1,3
0,1,0,3,34.6542,1,1,3
1,1,0,1,63.3583,1,1,1
1,2,1,1,23.0,0,3,2
0,2,0,1,26.0,0,1,2
0,3,1,1,7.8958,0,2,3
0,3,0,1,7.8958,0,1,3
0,1,0,1,77.2875,0,1,1
0,3,0,1,8.6542,0,1,3
0,3,0,1,7.925,0,1,3
0,3,0,1,7.8958,0,1,3
1,3,1,1,7.65,0,2,3
1,3,0,1,7.775,0,1,3
0,3,0,1,7.8958,0,1,3
1,3,1,1,24.15,2,2,3
0,1,0,2,52.0,0,1,2
0,3,1,0,14.4542,1,2,0
0,3,0,1,8.05,0,1,3
0,3,1,0,9.825,0,2,0
0,3,1,0,14.4583,1,2,0
0,3,0,1,7.925,0,1,3
0,3,0,3,7.75,2,1,9
0,2,0,1,21.0,0,1,2
0,1,0,1,247.5208,1,1,1
0,3,1,0,31.275,0,2,0
0,2,0,1,73.5,0,1,2
0,3,0,1,8.05,0,1,3
0,2,0,1,30.0708,1,1,2
1,2,1,1,13.0,0,2,2
0,1,0,2,77.2875,0,1,2
1,3,0,0,11.2417,1,4,0
0,3,0,1,7.75,2,1,3
1,3,0,1,7.1417,0,1,3
1,3,1,1,22.3583,1,2,3
0,3,0,2,6.975,0,1,6
0,3,0,1,7.8958,1,1,3
0,3,0,0,7.05,0,1,0
0,3,1,2,14.5,0,3,6
1,2,1,1,26.0,0,3,2
0,2,0,1,13.0,0,1,2
0,2,0,1,15.0458,1,1,2
1,1,1,0,26.2833,0,2,0
0,1,0,1,53.1,0,1,1
0,3,0,0,9.2167,0,1,0
0,1,0,1,79.2,1,1,1
0,3,1,1,15.2458,1,3,3
1,3,1,1,7.75,0,2,3
1,3,1,1,15.85,0,3,3
0,3,0,0,6.75,2,1,0
0,2,0,0,11.5,0,1,0
0,2,0,0,36.75,0,1,0
1,3,0,1,7.7958,0,1,3
0,3,1,0,34.375,0,2,0
0,2,0,1,26.0,0,1,2
0,2,0,2,13.0,0,5,4
0,2,0,2,12.525,0,5,4
1,1,1,1,66.6,0,3,1
0,3,0,2,8.05,0,1,6
0,3,0,1,14.5,0,1,3
0,3,0,1,7.3125,0,1,3
0,1,0,2,61.3792,1,1,2
1,3,1,0,7.7333,2,2,0
0,3,0,1,8.05,0,1,3
0,3,0,1,8.6625,0,1,3
0,3,0,1,69.55,0,4,3
0,3,0,2,16.1,0,1,6
1,2,1,1,15.75,0,3,2
0,3,0,1,7.775,0,1,3
0,3,0,0,8.6625,0,1,0
0,3,0,0,39.6875,0,4,0
1,3,0,0,20.525,0,4,0
1,1,1,1,55.0,0,3,1
0,3,1,2,27.9,0,3,6
0,1,0,2,25.925,0,1,2
0,3,0,1,56.4958,0,1,3
0,1,0,3,33.5,0,1,3
0,3,0,0,29.125,2,4,0
1,3,1,0,11.1333,0,2,0
0,3,0,1,7.925,0,1,3
0,1,0,2,30.6958,1,1,2
0,3,0,0,7.8542,0,1,0
0,3,0,1,25.4667,0,4,3
0,1,1,2,28.7125,1,2,2
0,2,0,1,13.0,0,1,2
0,3,0,1,0.0,0,1,3
0,3,1,1,69.55,0,2,3
0,2,0,1,15.05,1,1,2
0,3,0,0,31.3875,0,4,0
1,2,0,0,39.0,0,4,0
1,3,1,0,22.025,0,2,0
0,1,0,2,50.0,0,1,2
1,3,1,1,15.5,2,3,3
1,1,0,2,26.55,0,1,2
0,3,0,1,15.5,2,1,3
0,3,0,1,7.8958,0,1,3
1,2,1,1,13.0,0,3,2
0,2,0,0,13.0,0,1,0
1,3,1,0,7.8542,0,2,0
1,2,0,0,26.0,0,4,0
1,1,1,2,27.7208,1,3,2
1,1,1,2,146.5208,1,2,2
0,3,0,1,7.75,2,1,3
0,3,0,2,8.4042,0,1,6
1,3,1,1,7.75,2,2,3
0,2,1,1,13.0,0,2,2
0,3,0,1,9.5,0,1,3
0,3,0,1,69.55,0,1,3
0,3,0,1,6.4958,0,1,3
0,3,0,2,7.225,1,1,6
1,3,0,0,8.05,0,1,0
0,3,1,0,10.4625,0,2,0
0,3,0,1,15.85,0,1,3
1,3,0,1,18.7875,1,1,3
1,3,1,0,7.75,2,2,0
1,1,0,1,31.0,1,1,1
0,3,0,1,7.05,0,1,3
1,2,1,1,21.0,0,2,2
0,3,0,1,7.25,0,1,3
0,2,0,1,13.0,0,1,2
0,3,0,1,7.75,2,1,3
1,1,1,1,113.275,1,2,1
1,3,1,1,7.925,0,2,3
0,2,0,2,27.0,0,1,4
1,1,1,1,76.2917,1,2,1
0,2,0,1,10.5,0,1,2
1,3,0,0,8.05,0,1,0
0,2,0,1,13.0,0,1,2
0,3,0,2,8.05,0,1,6
0,3,0,1,7.8958,0,1,3
1,1,0,1,90.0,0,1,1
0,3,0,1,9.35,0,1,3
1,2,0,0,10.5,0,1,0
0,3,0,0,7.25,0,1,0
0,2,0,0,13.0,0,1,0
0,3,1,1,25.4667,0,2,3
1,1,1,1,83.475,0,3,1
0,3,0,1,7.775,0,1,3
0,2,0,2,13.5,0,1,4
1,3,1,0,31.3875,0,2,0
0,2,0,1,10.5,0,1,2
0,3,1,1,7.55,0,2,3
0,2,0,2,26.0,0,1,4
1,2,1,0,26.25,0,2,0
0,2,0,0,10.5,0,1,0
0,2,0,1,12.275,0,1,2
0,3,1,1,14.4542,1,2,3
1,3,1,1,15.5,2,2,3
0,2,0,1,10.5,0,1,2
0,3,0,1,7.125,0,1,3
0,3,0,1,7.225,1,1,3
0,1,0,2,90.0,2,5,2
0,3,1,1,7.775,0,2,3
1,2,1,1,14.5,0,3,2
1,1,0,1,52.5542,0,1,1
0,2,0,2,26.0,0,5,4
0,3,0,1,7.25,0,1,3
0,3,1,1,10.4625,0,3,3
0,1,0,3,26.55,0,1,3
0,3,0,1,16.1,0,1,3
0,3,1,2,20.2125,0,3,6
1,3,1,1,15.2458,1,3,3
1,1,1,1,79.2,1,3,1
1,1,1,1,86.5,0,2,1
1,1,1,1,512.3292,1,2,1
1,2,1,2,26.0,0,3,4
0,3,0,1,7.75,2,1,3
1,3,0,0,31.3875,0,4,0
0,1,0,2,79.65,0,1,2
0,1,0,1,0.0,0,1,1
0,3,1,1,7.75,2,2,3
0,2,0,1,10.5,0,1,2
0,3,0,0,39.6875,0,1,0
1,3,0,1,7.775,0,1,3
1,1,1,2,153.4625,0,3,2
1,1,1,1,135.6333,0,2,1
0,1,0,2,31.0,0,1,2
1,3,0,1,0.0,0,1,3
1,2,1,2,19.5,0,3,4
0,1,0,1,29.7,1,1,1
1,3,1,1,7.75,2,2,3
1,1,1,3,77.9583,0,2,3
0,3,1,2,7.75,0,2,6
0,2,0,1,0.0,0,1,2
0,3,0,0,29.125,2,4,0
1,3,1,1,20.25,0,3,3
0,3,0,3,7.75,2,1,9
0,3,0,1,7.8542,0,1,3
0,3,0,0,9.5,0,1,0
1,3,0,0,8.05,0,1,0
0,1,0,2,26.0,0,1,2
0,3,0,1,8.6625,1,1,3
1,3,0,1,9.5,0,1,3
0,3,0,1,7.8958,0,1,3
1,2,0,2,13.0,0,1,4
1,3,1,1,7.75,2,2,3
1,1,1,1,78.85,0,2,1
1,1,1,0,91.0792,1,3,0
0,2,0,1,12.875,1,1,2
0,3,1,1,8.85,0,2,3
0,3,0,1,7.8958,0,1,3
0,1,0,2,27.7208,1,1,2
0,3,0,1,7.2292,1,1,3
0,1,1,0,151.55,0,2,0
1,1,0,2,30.5,0,1,2
1,1,1,2,247.5208,1,3,2
1,3,1,1,7.75,2,2,3
1,3,0,1,23.25,2,1,3
0,3,0,0,0.0,0,1,0
1,2,1,1,12.35,2,2,2
0,3,0,1,8.05,0,1,3
1,1,0,0,151.55,0,4,0
1,1,1,1,110.8833,1,2,1
1,1,1,0,108.9,1,3,0
0,2,0,1,24.0,1,1,2
1,1,1,1,56.9292,1,2,1
1,1,1,1,83.1583,1,2,1
1,1,1,0,262.375,1,2,0
0,2,1,1,26.0,0,3,2
0,3,0,1,7.8958,0,1,3
0,2,0,2,26.25,0,1,4
1,3,1,1,7.8542,0,2,3
1,2,1,1,26.0,0,3,2
0,2,0,2,14.0,0,5,4
1,1,1,1,164.8667,0,2,1
1,1,1,1,134.5,1,3,1
0,3,0,1,7.25,0,1,3
0,3,0,1,7.8958,0,1,3
1,2,1,1,12.35,2,2,2
1,2,1,1,29.0,0,3,2
0,3,0,1,69.55,0,1,3
1,1,1,1,135.6333,1,2,1
0,3,0,3,6.2375,0,1,9
1,2,1,1,13.0,0,3,2
1,3,1,1,20.525,0,3,3
1,1,1,0,57.9792,1,2,0
1,3,1,1,23.25,2,2,3
0,1,0,2,28.5,0,1,2
0,1,0,1,153.4625,0,1,1
0,3,0,0,18.0,0,1,0
1,1,1,1,133.65,0,3,1
0,3,0,1,7.8958,0,1,3
0,1,0,1,66.6,0,1,1
1,1,1,2,134.5,1,2,2
1,3,0,2,8.05,0,1,6
0,1,0,2,35.5,0,1,2
1,2,0,0,26.0,0,4,0
1,1,1,1,263.0,0,2,1
0,2,0,1,13.0,0,1,2
0,2,0,1,13.0,0,1,2
0,2,0,1,13.0,0,1,2
1,2,1,1,13.0,0,2,2
1,2,1,1,13.0,0,2,2
1,3,1,1,16.1,0,3,3
1,3,0,0,15.9,0,4,0
0,3,0,2,8.6625,0,1,6
0,3,0,1,9.225,0,1,3
0,1,0,2,35.0,0,1,2
0,3,0,0,7.2292,1,1,0
0,3,0,1,17.8,0,1,3
0,3,0,1,7.225,1,1,3
0,3,0,1,9.5,0,1,3
1,1,1,1,55.0,0,2,1
0,2,1,1,13.0,0,2,2
1,3,1,1,7.8792,2,2,3
1,3,1,1,7.8792,2,2,3
0,3,0,1,27.9,0,1,3
0,2,0,1,27.7208,1,1,2
0,3,1,2,14.4542,1,3,6
0,3,0,1,7.05,0,1,3
0,3,0,1,15.5,2,1,3
0,3,0,1,7.25,0,1,3
1,1,1,2,75.25,1,3,2
1,3,1,1,7.2292,1,3,3
1,3,1,1,7.75,2,2,3
1,1,1,1,69.3,1,3,1
1,1,0,1,55.4417,1,1,1
0,3,0,0,6.4958,0,1,0
0,3,0,0,8.05,0,1,0
0,1,0,1,135.6333,1,1,1
0,3,1,0,21.075,0,2,0
1,1,1,1,82.1708,1,3,1
1,3,1,1,7.25,0,2,3
0,1,0,1,211.5,1,1,1
0,3,0,0,4.0125,1,1,0
0,3,0,0,7.775,0,1,0
1,1,1,2,227.525,1,2,2
1,3,1,0,15.7417,1,2,0
0,3,0,1,7.925,0,1,3
1,1,1,1,52.0,0,3,1
0,3,0,1,7.8958,0,1,3
0,2,0,0,73.5,0,1,0
0,3,0,0,46.9,0,4,0
1,2,1,1,13.0,0,2,2
0,3,0,1,7.7292,2,1,3
1,2,1,0,12.0,1,2,0
1,1,0,1,120.0,0,1,1
1,3,0,1,7.7958,0,1,3
0,3,0,1,7.925,0,1,3
1,1,1,1,113.275,1,2,1
1,3,1,1,16.7,0,3,3
0,3,0,1,7.7958,0,1,3
0,3,1,1,7.8542,0,2,3
0,2,0,2,26.0,0,1,4
0,2,0,1,10.5,0,5,2
1,2,1,1,12.65,0,3,2
1,3,0,1,7.925,0,1,3
0,3,0,1,8.05,0,1,3
0,3,1,1,9.825,0,2,3
0,3,0,1,15.85,0,1,3
0,3,1,0,8.6625,0,2,0
0,2,0,1,21.0,0,1,2
0,3,0,2,7.75,0,1,6
1,2,0,0,18.75,0,4,0
0,3,0,1,7.775,0,1,3
0,3,1,1,25.4667,0,2,3
0,3,0,1,7.8958,0,1,3
0,3,0,1,6.8583,2,1,3
1,1,1,1,90.0,2,2,1
0,2,0,1,0.0,0,1,2
1,3,0,2,7.925,0,1,6
0,3,1,1,8.05,0,3,3
1,2,1,1,32.5,0,3,2
1,2,1,0,13.0,0,2,0
0,2,0,1,13.0,0,1,2
0,3,1,0,24.15,0,2,0
0,3,0,1,7.8958,1,1,3
0,3,0,1,7.7333,2,1,3
0,3,0,1,7.875,0,1,3
0,3,1,1,14.4,0,3,3
0,3,0,0,20.2125,0,1,0
0,3,0,1,7.25,0,1,3
1,2,1,1,26.0,0,3,2
1,2,1,0,26.0,0,2,0
0,3,0,1,7.75,2,1,3
1,3,0,1,8.05,0,1,3
1,1,0,1,26.55,0,1,1
1,3,1,1,16.1,0,3,3
1,2,1,2,26.0,0,3,4
0,3,0,0,7.125,0,1,0
0,1,0,2,55.9,0,1,2
1,1,1,0,120.0,0,2,0
0,3,1,1,34.375,0,2,3
1,2,1,1,18.75,0,3,2
0,1,0,3,263.0,0,1,3
0,2,0,1,10.5,0,1,2
1,2,1,2,26.25,0,3,4
0,3,0,0,9.5,0,1,0
0,3,0,1,7.775,0,1,3
1,2,1,1,13.0,0,2,2
